Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
summerready,76,99,23,selfcaretiktok,34,56,22,creditunion,36,86,50,viraldessert,54,81,27,,,,,vlogcamera,60,96,36,flames,46,66,20
goodquality,12,27,15,giftedbynative,73,94,21,tradingview,53,76,23,realfood,60,86,26,,,,,digtal,55,81,26,gaspricesaretoohigh,84,93,9
shipping,67,81,14,huntsvillealabama,38,57,19,taxhelp,60,83,23,dinneridea,63,82,19,,,,,lamparasolar,56,78,22,fuel,47,55,8
babydoll,47,59,12,skintint,41,60,19,globaltrade,55,74,19,traderjoesfinds,42,59,17,,,,,techsupport,73,94,21,ebikelife,50,58,8
romper,83,95,12,lashlift,29,47,18,orderflow,71,89,18,bloompartner,50,67,17,,,,,smarttv,68,87,19,tundra,92,99,7
funnyrelatable,9,20,11,theordinary,53,68,15,globaleconomy,50,66,16,eastercandy,72,87,15,,,,,uav,78,97,19,gasolina,22,28,6
gymfit,39,49,10,burmesecurly,80,95,15,polymarket,49,63,14,amadecasa,35,47,12,,,,,techvibes,38,56,18,starkvarg,48,54,6
womenfashion,63,72,9,sampletok,33,44,11,financialgoals,43,55,12,bakingrecipe,45,57,12,,,,,securitylight,72,90,18,ceramiccoating,55,60,5
springoutfits,53,61,8,diylashes,51,61,10,illinoishomes,85,97,12,frutas,24,35,11,,,,,laserlevel,41,58,17,ceramic,87,92,5
shoppingvlog,75,83,8,protectorsolar,44,53,9,propfirm,45,56,11,samsclubfinds,81,92,11,,,,,camaras,85,100,15,gmt800,18,22,4
momfinds,79,87,8,mixsoon,75,83,8,springmarket,73,84,11,cheeseburger,33,40,7,,,,,vacuumseal,42,55,13,luxurycars,20,24,4
mothersdaygiftideas,34,41,7,mouthwash,60,66,6,信息差,88,99,11,yogurtbowl,41,48,7,,,,,minifanportable,54,66,12,kia,28,32,4
tanktop,50,57,7,dermatology,72,78,6,incomestreams,65,75,10,sardines,55,62,7,,,,,cables,66,75,9,mobilemechanic,72,76,4
flipflops,81,88,7,curvlife,69,74,5,influencermarketing,52,59,7,littlecaesars,62,69,7,,,,,industrialrobot,91,99,8,mechaniclife,10,13,3
rolex,40,46,6,bbcream,28,32,4,fintok,32,38,6,celiac,37,43,6,,,,,solarenergy,33,40,7,usmilitary,16,18,2
denim,14,19,5,selftan,64,67,3,integrity,25,29,4,whatsfordinner,39,45,6,,,,,galaxys26,75,82,7,yozma,21,23,2
midsizefashion,62,67,5,complimentary,11,13,2,homeselling,30,34,4,egg,11,16,5,,,,,durability,76,83,7,engine,31,33,2
twopieceset,27,31,4,oil,13,15,2,onlineincome,8,11,3,tiktokgo,59,64,5,,,,,smarttools,70,76,6,teslatok,98,100,2
set,46,50,4,cabello,15,17,2,entrepreneurtok,38,41,3,cocinafacil,84,89,5,,,,,humanoid,92,98,6,carcare,11,12,1
springvibes,59,63,4,french,21,23,2,moneygoals,44,47,3,lonche,29,33,4,,,,,comfyfit,30,34,4,gasstation,13,14,1
springstyle,66,70,4,pinknails,70,72,2,taxdeductions,74,77,3,tinnedfish,71,75,4,,,,,cameras,31,35,4,emoto,15,16,1
tiktokshopcreatorpick,70,74,4,eadem,98,100,2,ditchpartner,87,90,3,electrolytes,9,12,3,,,,,portablepower,39,43,4,ebike,1,1,0
sheintrends,74,78,4,springnails,3,4,1,taxseason,6,8,2,bloomnutrition,18,21,3,,,,,compactyetpowerful,69,73,4,surron,2,2,0
springsale,31,34,3,productosdecabello,4,5,1,buildinpublic,19,21,2,snackideas,22,24,2,,,,,solarbugzapper,46,49,3,gas,3,3,0
springoutfit,33,36,3,cuidadohair,8,9,1,wallstreet,23,25,2,tuna,28,30,2,,,,,samsungs26ultra,49,52,3,detailing,4,4,0
tattootiktok,49,52,3,beautyfinds,19,20,1,coupons,28,30,2,bentobox,36,38,2,,,,,towerfan,50,53,3,aviation,6,6,0
activewear,51,54,3,ycz,23,24,1,bitcoinmining,67,69,2,sandiegohiddengems,48,50,2,,,,,airpodcase,83,86,3,autodetailing,19,19,0
jumpsuit,55,58,3,hairproduct,27,28,1,financialsecurity,77,79,2,energydrinks,7,8,1,,,,,dreame,19,21,2,ultrabee,29,29,0
widelegpants,87,90,3,peekaboo,90,91,1,emailmarketing,83,85,2,starbucksdrinks,8,9,1,,,,,cargadorportátil,34,36,2,usedcars,30,30,0
watchtok,94,97,3,tintedmoisturizer,97,98,1,scalping,96,98,2,comfortfood,10,11,1,,,,,newenergy,57,59,2,chrome,44,44,0
springfashion,5,7,2,slime,1,1,0,entrepreneurship,3,4,1,fruits,12,13,1,,,,,tacticalflashlight,89,91,2,tint,49,49,0
heels,43,45,2,medicube,2,2,0,businessgrowth,4,5,1,lunchideas,13,14,1,,,,,poweroutage,10,11,1,wheelie,8,7,-1
etsyshop,82,84,2,crecimientodepelo,6,6,0,earnmoneyfromhome,5,6,1,wholefoods,14,15,1,,,,,digitalcameras,14,15,1,carwash,9,8,-1
henna,91,93,2,lashclusters,7,7,0,blueprint,13,14,1,treatyourself,16,17,1,,,,,translator,45,46,1,supercars,35,34,-1
hanes,92,94,2,ugccreator,10,10,0,financetips,14,15,1,caffeine,17,18,1,,,,,filament,47,48,1,classiccars,42,41,-1
bikini,2,3,1,ugc,12,12,0,founderlife,27,28,1,sourdoughtok,19,20,1,,,,,powerbank,1,1,0,trocas,57,56,-1
weeklydeals,10,11,1,footcare,14,14,0,brandstrategy,35,36,1,margarita,21,22,1,,,,,airpods,2,2,0,highway,73,72,-1
cleanaesthetic,15,16,1,slimeasmr,18,18,0,digitalmarketing,1,1,0,traderjoeshaul,27,28,1,,,,,dji,3,3,0,highclass,79,78,-1
minimalbeauty,20,21,1,acnetreatment,22,22,0,entrepreneurlife,2,2,0,treatmaker,30,31,1,,,,,electronics,4,4,0,carproblems,83,82,-1
plussizefashion,28,29,1,peptide,9,8,-1,homeownership,7,7,0,olivegarden,40,41,1,,,,,airpurifier,5,5,0,cardetailing,7,5,-2
vacationoutfits,61,62,1,pdrn,17,16,-1,tax,9,9,0,erewhon,57,58,1,,,,,techfinds,6,6,0,tucson,27,25,-2
maxidress,64,65,1,sensitiveskin,20,19,-1,tjr,10,10,0,margaritas,69,70,1,,,,,3dprinter,7,7,0,carhacks,33,31,-2
bathingsuit,65,66,1,bodywash,36,35,-1,wealthmindset,12,12,0,swig,87,88,1,,,,,cordlessvacuum,12,12,0,trains,63,61,-2
colorful,85,86,1,scalphealth,49,48,-1,smallbusinesstips,16,16,0,starbucks,1,1,0,,,,,techtrends,13,13,0,clean🧼,12,9,-3
luxurybag,90,91,1,spf50,50,49,-1,fba,17,17,0,worldoffrozen,2,2,0,,,,,audifonosbluetooth,20,20,0,dirtbikes,14,11,-3
spring,1,1,0,tiktokshopglowup,76,75,-1,savemoneytips,26,26,0,disneyadventureworld,3,3,0,,,,,ledwall,88,88,0,lowrider,23,20,-3
thatgirl,4,4,0,squishytoys,78,77,-1,businesstok,42,42,0,fruit,4,4,0,,,,,drones,9,8,-1,ebikes,38,35,-3
