New Hashtags,Rank,Risers,Change,Fallers,Change
nail,3,frenchtip,30,lorealistar,-36
bubble,8,slimes,20,mascarareview,-31
oil,9,haircaretipsa,18,yellowteeth,-28
pdrn,12,esteticista,17,tanningbed,-23
beautyfinds,13,bedazzling,13,lashtok,-22
ycz,14,washday,11,hismile,-18
sunburn,18,selftanner,11,prhaul,-16
clusterlashes,24,consejosdecuidadodelapiel,10,ojerastips,-15
sephoria2026,26,pinknails,8,minoxidil,-15
browlamination,32,sensitiveskincare,8,mouthwash,-14
squishytoys,39,trim,6,koreanlashlift,-14
retinal,44,matureskinmakeup,6,bedtimeroutine,-12
diylashes,46,eyepatch,6,skinbarrier,-12
nichefragrance,61,squishyasmr,6,gluelesswigs,-12
hairlossrescue,62,cuidadohair,5,maryruths,-11
