New Hashtags,Rank,Risers,Change,Fallers,Change
buy now,7,don’t miss out,8,hairtools,-11
,,thermal brush,7,diffuser,-11
,,don’t miss,7,bluetoothspeaker,-8
,,laser beauty treatments,6,this black friday,-6
,,stock up,6,drone,-5
,,great deal,4,mini,-5
,,steam cleaner,4,air fryer,-5
,,vacuumsealer,4,coffee maker,-5
,,every time,3,amazing deal,-4
,,nugget ice maker,3,christmas,-4
,,blender,2,speakers,-4
,,fan,2,digitalcamera,-3
,,black friday sale,2,hair dryer,-3
,,vacuum cleaner,2,curling iron,-3
,,limited time,2,neckmassager,-3
