New Hashtags,Rank,Risers,Change,Fallers,Change
buy now,115,dress,20,valentine’s day,-52
gear up,131,shopblackfriday,20,shirt,-46
straight to your door,145,now live,17,loungewear,-24
join the live,166,this week only,17,stylish,-22
dresses,170,make it,16,body cream,-22
,,now in,16,bag,-19
,,must-have,16,at low prices,-19
,,tap the,16,spring,-16
,,best sellers,16,out now,-16
,,sold out,16,christmas,-15
,,use code: ae15,15,limited time offer,-15
,,this season,15,free shipping over,-15
,,your home,15,holiday sale,-14
,,exclusive deals,15,code ae15,-13
,,shop the collection,15,men,-12
