New Hashtags,Rank,Risers,Change,Fallers,Change
my friend,79,pvp,57,world's most popular casual games,-120
merge and survive,197,fight zombies and escape,44,level up,-116
this game mocks me,230,your enemies,42,download and find out,-114
download the game,262,new characters,42,give us,-113
play uno like never before,329,the end,37,find out why,-108
addicting game,338,check it out,36,start earning,-99
launched today,387,check it,36,casino slots,-98
must-try,396,every single,36,meet your al soulmate,-96
come join us,441,free draws,36,help them,-86
"collect 10,000,000 free virtual coins",462,for all ages,36,limited time,-83
billion diamonds,481,join today,36,immerse yourself,-81
real cash rewards,483,all ages,36,challenge yourself,-78
hit the jackpot,485,"hire wisely, manage perfectly",35,challenge your mind,-77
join this,486,build your roadside empire,35,high score,-66
check it out for yourself,487,survive chaos,35,top 1 saving doggy game,-65
