hashtag,rank_today,rank_prev_state,rank_delta,new_state_entry
tiktokshopblackfriday,1,,,1
tiktokshopholidayhaul,2,,,1
christmasgiftideas,3,2,-1,0
tiktokshopcybermonday,4,1,-3,0
giftideas,5,,,1
blackfriday,6,,,1
gifts,7,5,-2,0
winterfashion,8,6,-2,0
christmasgift,9,10,1,0
giftidea,10,7,-3,0
christmasgifts,11,,,1
stockingstuffer,12,8,-4,0
holidayseason,13,15,2,0
giftsforher,14,11,-3,0
target,15,,,1
hoodie,16,,,1
giftsforhim,17,17,0,0
boots,18,12,-6,0
christmasshopping,19,,,1
blackfridaydeals,20,3,-17,0
holidaycountdown,21,23,2,0
chanel,22,19,-3,0
coldweather,23,29,6,0
tiktokshopfalldealsforyou,24,9,-15,0
holidaygifts,25,,,1
sweater,26,18,-8,0
jacket,27,25,-2,0
wishlist,28,21,-7,0
quarterzip,29,,,1
stockingstuffers,30,33,3,0
socks,31,,,1
sweaterweather,32,16,-16,0
holidayparty,33,,,1
giftforher,34,,,1
christmasoutfit,35,52,17,0
winteroutfit,36,60,24,0
urbanchic,37,28,-9,0
stockingstufferideas,38,,,1
christmaslist,39,30,-9,0
ornaments,40,,,1
targetfinds,41,,,1
regalos,42,,,1
tiktokblackfriday,43,,,1
giftideasforher,44,39,-5,0
slippers,45,,,1
giftforhim,46,,,1
holidaygiftideas,47,,,1
invierno,48,62,14,0
christmaswishlist,49,36,-13,0
warm,50,44,-6,0
moodyaesthetic,51,37,-14,0
christmassweater,52,49,-3,0
vendor,53,,,1
winterboots,54,61,7,0
holidayoutfit,55,53,-2,0
looks,56,,,1
comfrt,57,,,1
brandy,58,,,1
present,59,,,1
christmasgiftidea,60,87,27,0
halara,61,27,-34,0
sweatpants,62,,,1
cowgirlstyle,63,42,-21,0
holidaygiftguide,64,,,1
southernbelle,65,,,1
nycstyle,66,43,-23,0
fitchecks,67,38,-29,0
baddiealert,68,41,-27,0
knitting,69,,,1
texasbeauty,70,,,1
wrappinggifts,71,,,1
sunsetaesthetic,72,,,1
christmaspajamas,73,40,-33,0
festive,74,,,1
holidaydeals,75,,,1
grungeglam,76,46,-30,0
rainydaylook,77,47,-30,0
indoorbeauty,78,48,-30,0
usbeauty,79,,,1
californiagirl,80,56,-24,0
presents,81,,,1
blackfridaysale,82,,,1
cityglam,83,51,-32,0
wildheart,84,,,1
waterproof,85,,,1
californiadreamin,86,,,1
matchingpjs,87,88,1,0
longsleeve,88,55,-33,0
bootsandhats,89,,,1
bagsmart,90,,,1
miaminights,91,,,1
varsity,92,,,1
beanie,93,67,-26,0
fallfreshness,94,31,-63,0
fashionshow,95,78,-17,0
coat,96,54,-42,0
latinavibes,97,,,1
winteroutfits,98,99,1,0
hoodies,99,,,1
temu,100,,,1
