hashtag,rank_today,rank_prev_state,rank_delta
matchingpjs,45,87,42
christmasgiftidea,24,60,36
bootsandhats,59,89,30
invierno,21,48,27
grungeglam,50,76,26
rainydaylook,51,77,26
indoorbeauty,52,78,26
coat,72,96,24
temu,77,100,23
cityglam,61,83,22
cowgirlstyle,43,63,20
winteroutfits,78,98,20
nycstyle,49,66,17
beanie,76,93,17
holidayoutfit,41,55,14
giftideasforher,31,44,13
baddiealert,55,68,13
coldweather,11,23,12
present,47,59,12
moodyaesthetic,40,51,11
urbanchic,27,37,10
regalos,33,42,9
chanel,15,22,7
winteroutfit,29,36,7
giftsforher,8,14,6
christmasshopping,13,19,6
wishlist,22,28,6
christmasgifts,6,11,5
holidaycountdown,16,21,5
waterproof,80,85,5
christmasgift,5,9,4
holidayseason,9,13,4
sweatpants,58,62,4
giftsforhim,14,17,3
christmasgiftideas,2,3,1
tiktokshopcybermonday,3,4,1
giftideas,4,5,1
sweater,25,26,1
christmasoutfit,34,35,1
tiktokshopblackfriday,1,1,0
gifts,7,7,0
christmaslist,39,39,0
holidaygifts,26,25,-1
winterfashion,10,8,-2
giftforher,36,34,-2
giftforhim,48,46,-2
christmaspajamas,75,73,-2
jacket,30,27,-3
tiktokshopfalldealsforyou,28,24,-4
blackfriday,12,6,-6
stockingstuffers,37,30,-7
christmaswishlist,57,49,-8
giftidea,19,10,-9
socks,42,31,-11
warm,63,50,-13
vendor,66,53,-13
winterboots,69,54,-15
quarterzip,46,29,-17
holidaygiftideas,65,47,-18
christmassweater,74,52,-22
blackfridaydeals,44,20,-24
holidaygiftguide,91,64,-27
tiktokblackfriday,85,43,-42
babyboo,17,,
wintervibes,18,,
westernfashion,20,,
newyearnewme,23,,
winterishere,32,,
hat,35,,
shopwithme,38,,
gloves,53,,
christmashaul,54,,
strut,56,,
tiktokshopholidaydeals,60,,
winterfit,62,,
formal,64,,
uglysweaters,67,,
rekomendasi,68,,
hats,70,,
bfcm,71,,
christmaspresents,73,,
chirstmas,79,,
zara,81,,
allblack,82,,
wintercoat,83,,
staywarm,84,,
wibgajian,86,,
uggs,87,,
softgirl,88,,
snowboots,89,,
ralphlauren,90,,
giftideasforhim,92,,
chrismasgifts,93,,
tiktokcreatorpicks,94,,
winterstyle,95,,
cybermonday,96,,
carhartt,97,,
furcoat,98,,
fashiondeals,99,,
hermes,100,,
