Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
needlepoint,34,68,34,skin1004,28,42,14,familydollar,20,44,24,foodart,75,97,22,,,,,gadgetlife,39,94,55,wrapped,49,83,34
knittok,70,96,26,skinbarrier,34,47,13,systems,69,90,21,healthycooking,67,84,17,,,,,datacenter,53,84,31,tireinflator,69,89,20
retailtherapy,75,100,25,dermatologist,43,56,13,entrepreneurtok,36,54,18,granola,65,73,8,,,,,microfonos,60,86,26,usanavy,18,30,12
knitting,30,51,21,sensitiveskincare,61,74,13,cpa,48,64,16,poptarts,91,99,8,,,,,ereader,70,89,19,seatcushion,57,68,11
chromehearts,64,85,21,dollartreehaul,32,43,11,estateplanning,28,43,15,customcakes,84,91,7,,,,,handmassager,51,68,17,chipeo12voltio,61,70,9
goodwillfinds,69,83,14,selftan,37,48,11,fintok,63,78,15,tismalla,52,58,6,,,,,portablewifi,25,40,15,madeinjapan,43,51,8
prom2026,80,93,13,esteticista,56,65,9,taxreturn,76,91,15,breakfasttime,58,63,5,,,,,filament,64,78,14,lifeontheroad,88,96,8
yarn,66,78,12,barbertok,24,31,7,highticketsales,33,47,14,fromscratch,42,46,4,,,,,vacuumsealer,74,88,14,waymo,32,39,7
coldweather,44,55,11,sendsounds,65,72,7,taxprofessional,37,50,13,juicing,44,48,4,,,,,ios26wallpaper,36,45,9,restored,71,78,7
oversizedsweatsuits,89,99,10,2016makeup,10,16,6,buildinpublic,47,60,13,juice,19,22,3,,,,,actioncamera,55,64,9,850,93,99,6
goodwill,32,41,9,colormixing,51,57,6,businesstok,44,56,12,courtneycook,30,33,3,,,,,7in1chargingstation,63,72,9,carmount,19,24,5
fashionablewomensclothing,65,73,8,cleanskinclub,87,93,6,affordability,70,82,12,shirleytemple,50,53,3,,,,,айфон,12,20,8,trx,31,36,5
