New Hashtags,Rank,Risers,Change,Fallers,Change
minimalbeauty,13,staywarm,41,verão,-49
confidentvibes,17,invierno,38,californiadreamin,-36
hat,30,birkinbag,34,wildheart,-31
rolex,41,warm,28,bootsandhats,-30
comfort,44,alo,23,southerncharm,-27
whatsinmybag,45,goodwill,20,miaminights,-27
womenssweatshirtset,46,carhartt,20,californiagirl,-26
onlineshopping,47,pandora,18,usbeauty,-26
boxer,52,beanie,16,bridalfashion,-25
sweatsuitset,63,winteroutfit,15,latinavibes,-24
vendor,66,goldenhourvibes,12,texasbeauty,-23
regalos,74,bedazzled,10,sunsetaesthetic,-22
womens2piecesets,77,cleanaesthetic,9,shipping,-22
kandi,82,softaesthetic,8,nightlifebeauty,-20
halloweenhoodieblanket,83,sparkleandshine,8,confidenceboost,-17
