New Hashtags,Rank,Risers,Change,Fallers,Change
medicube,2,drdent,44,slime,0
wax,6,nailsathome,44,naturalglow,3
slimeasmr,7,skincareover40,43,matureskin,4
medicubeskincare,9,favorites,41,complimentary,6
productos,10,gopure,39,selfcareroutine,8
photobooth,11,matureskincare,39,sensitiveskin,10
browlamination,12,teethwhiteningstrips,38,whiteningstrips,14
summerfridays,13,pixie,36,scalphealth,15
selfcaretiktok,15,spraytan,35,skinbarrier,16
pielbonita,16,sensitiveskincare,35,eadem,21
nailtransformation,24,gluelesswigs,31,bedazzling,24
haircaretipsa,25,matureskinmakeup,31,herbalessences,26
starterpicks,28,koreanlashlift,30,shampooandconditioner,27
scenttrap,31,skincaretok,28,skincaretok,28
ycz,32,shampooandconditioner,27,koreanlashlift,30
