New Hashtags,Rank,Risers,Change,Fallers,Change
healthyfood,12,cocoa,28,healthycooking,-35
electrolytes,13,pinkdrink,25,hamburger,-32
viraldessert,42,crawfishboil,23,traderjoesmusthaves,-25
bakingrecipe,44,crawfishseason,20,easycooking,-21
sardines,48,tiktokgo,19,dintaifung,-20
lamb,53,camarones,18,samsclubfinds,-20
bloompartner,57,filipinofood,15,granola,-19
vitacocopartner,66,cheeseburger,9,mediterraneanfood,-14
weekendplans,72,littlecaesars,8,bloompop,-11
candylovers,82,eastercandy,8,cocinafacil,-11
swig,85,margaritas,7,poppi,-10
fishfry,88,healthydinner,7,costcohaul,-9
culvers,91,viralbaking,7,bentobox,-7
cirkul,94,margarita,6,yogurtbowl,-7
showcasemademebuyit,96,bourbon,6,daycareprovider,-7
