Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
65k men,327,422,95,don’t miss out,48,62,14,get 15% off,54,176,122,baby monitor,16,19,3,buy it,247,331,84,the top,138,158,20,dress,52,72,20,free trial,15,22,7,credit history,89,137,48,no sugar,56,74,18,at night,362,433,71,discover how,163,207,44,new app,88,124,36
for $29,307,389,82,buy 1,51,65,14,use code: ae15,53,170,117,limited time,19,22,3,roll-on,343,427,84,up to 40% off,102,120,18,shopblackfriday,107,127,20,learn more,2,4,2,get relief,123,147,24,protein smoothie,48,60,12,new characters,434,468,34,check out,237,279,42,new app users,89,125,36
last day promotion,310,392,82,speakers,42,54,12,find out who called,376,474,98,mattress,20,23,3,this deal,280,351,71,take your,84,101,17,now live,73,90,17,100% online,3,5,2,debt relief program,129,144,15,stress-free,49,61,12,win the game,262,295,33,boost energy,239,281,42,bamboo sheets,81,114,33
suitcase,360,442,82,don’t miss,43,55,12,remote control,397,454,57,playmat,21,24,3,our website,396,461,65,for warehouse workers,63,78,15,this week only,147,164,17,speak like a leader,1,2,1,business funding,101,115,14,swedish candy,50,62,12,1 mahjong game,436,469,33,learn more now,236,277,41,game changer,104,133,29
v-neck,333,410,77,good deal,41,52,11,real life,384,439,55,your baby,6,8,2,drleodryinglotion,260,324,64,for free today,163,178,15,make it,149,165,16,learn how,7,8,1,take advantage,78,91,13,help you,43,54,11,play the sweetest game,439,471,32,hear clearly without the hassle,128,168,40,modular sofa,120,146,26
your love,334,411,77,stock up,40,50,10,1 free,407,462,55,baby carrier,15,17,2,skin tone,399,463,64,next level,107,121,14,now in,150,166,16,high school,9,10,1,bad credit,28,38,10,delicious meals made simple,52,63,11,tap to build,234,263,29,get it,198,235,37,hot sleepers,122,147,25
lowest price,301,375,74,limited time,27,36,9,live now,213,267,54,moms,23,25,2,transform your skin,400,464,64,the next level,108,122,14,must-have,152,168,16,financial aid,26,27,1,this ramadan,55,65,10,free meal,53,64,11,mobile game,360,386,26,self-care,201,237,36,check it,126,149,23
refresh your look,297,370,73,shop now,28,37,9,tap here,369,423,54,20 % off,5,6,1,best deal,401,465,64,now open,150,163,13,tap the,175,191,16,learn spanish,27,28,1,americans,74,81,7,for a limited time,54,65,11,get 30 billion diamonds,423,449,26,liver support,203,239,36,try this,128,150,22
turn heads,329,402,73,curling iron,25,33,8,find love your way,379,433,54,free shipping,14,15,1,shop discount sale,402,466,64,for cash,151,164,13,best sellers,176,192,16,from home,28,29,1,free consultation,85,92,7,high-quality,45,55,10,casual and easy mahjong game,411,436,25,free guide,212,248,36,brand new,64,85,21
buy 3,351,424,73,laser beauty treatments,26,34,8,live video,367,419,52,baby,1,1,0,like it,390,453,63,swipe left to learn,153,166,13,sold out,177,193,16,make it,34,35,1,health benefits,88,95,7,for dinner,46,56,10,please download,372,393,21,full dental implants,213,249,36,all day,116,137,21
game changer,300,372,72,thermal brush,39,47,8,your friends,202,253,51,kids,2,2,0,undereye corrector,240,302,62,tap to,155,167,12,use code: ae15,17,32,15,online hs diploma,35,36,1,insurance,22,28,6,love it,66,76,10,watch me,332,352,20,your money back,226,259,33,helps you,130,151,21
smart ring,385,457,72,nugget ice maker,45,53,8,tap in,364,412,48,diaper bag,3,3,0,buy 2 get,395,457,62,this app,149,160,11,this season,108,123,15,parents,6,6,0,see if you qualify,43,49,6,high protein,61,70,9,playing this game,144,161,17,find out,138,170,32,must have,118,138,20
buy 2 get free 2,313,383,70,hair dryer,16,23,7,download and join now,178,225,47,your kids,4,4,0,hair color,405,467,62,start now,157,168,11,your home,154,169,15,earn your degree,11,11,0,pet insurance,45,51,6,miss out,62,71,9,try one,295,309,14,wake up,185,217,32,good deal,137,155,18
