New Hashtags,Rank,Risers,Change,Fallers,Change
boots,4,fleece lined,82,shoulderbag,-132
cargopants,238,starts now,72,up to 60%off,-108
get 2 free,373,every occasion,71,turn heads,-104
barefoot shoes,375,get them,70,vintage,-101
compression shirt,381,love story,69,50 pieces,-101
kingdom essential hoodie,382,number 1,69,baggypants,-91
lacebra,383,100% cotton,68,giftsforhim,-86
every girl,387,sale ends midnight,67,feel good,-84
caps,395,75% off,66,2-piece set,-81
outerwear,396,savvy backpack,65,80% off,-75
crossbody bag,397,ridge wallet,63,joggers,-75
50%off only today,401,unibling colored lenses,63,loafers,-62
clear vision,402,free today,63,linen,-61
special edition cap collection,403,new arrivals,62,hoes,-61
best looking colored contact,407,gold plated,59,yoga pants,-59
