New Hashtags,Rank,Risers,Change,Fallers,Change
1 free live video chat,315,get 15% off,122,download it now,-273
tattoo,368,use code: ae15,117,download it,-166
find your match now,449,find out who called,98,find the best,-164
free short dramas,467,remote control,57,this series is so incredible,-114
creat stunning photos in seconds,471,real life,55,piano,-107
earn extra money,472,1 free,55,watch for free today,-86
clean your inbox for free,477,live now,54,dive into game features now,-79
find amazing local deals now,478,tap here,54,"anytime, anywhere",-78
download this,481,find love your way,54,click and download rednote,-78
60 % off,486,live video,52,clean your phone,-77
wallpapers,487,your friends,51,watching more series,-69
take the first step,489,tap in,48,create stunning videos in minutes,-68
bible verses,490,download and join now,47,continue watching more series,-67
bad boy,491,starts here,44,watch instantly,-65
up to 60%off,492,see for yourself,41,true love,-60
