New Hashtags,Rank,Risers,Change,Fallers,Change
65% off,90,shop our,82,pimple patches,-178
help you,136,buy 2 get,79,crazy sale,-172
magneticlashe,254,grab the,73,try it today,-167
get 35% off,304,best selling boujee body oil,68,only $69,-140
grab your,343,boujee body oil,68,mini,-132
my friend,384,makeupkit,67,girlies,-117
hair product,391,radiant skin,65,free gift,-100
selling out,409,right here,64,check your coupons,-99
you try,415,it’s on sale,64,eyeshadow,-97
like magic,419,you should,64,pimple,-93
full size,422,use it,63,christmas sale,-93
it a try,427,valentine’s day,62,summerfridays,-82
leather,428,lip tint,62,tattoo,-79
headband,435,growth serum,61,brown,-79
gut health,439,fast 3-day shipping,61,curly hair,-79
