New Hashtags,Rank,Risers,Change,Fallers,Change
free gift,45,sold out,32,in style,-53
valentinesday,91,every moment,23,pant,-41
shoes,97,shirt,21,pants,-41
get 20% off,137,get high,21,shoe,-30
,,each week,21,great deal,-26
,,unique items,20,get up,-24
,,take 20% off,20,day sale,-23
,,join the live,20,men,-22
,,limited time only,20,get free,-20
,,all day,19,40% off,-19
,,save big,19,hoodie,-15
,,best price,19,dress,-14
,,body cream,19,amazing deal,-14
,,get 50%,19,get started,-12
,,flash sale now,19,shop new,-12
