New Hashtags,Rank,Risers,Change,Fallers,Change
up to $5000,90,check your eligibility,22,health benefits,-32
yours now,122,swipe left,18,start saving,-18
new car,124,from $39/month,16,check out the best deals,-14
,,link below,15,best deals,-12
,,before midnight,13,pay off debt faster,-12
,,apply before midnight,13,1/day,-12
,,limited spots,13,check out,-11
,,save money,12,check out the,-11
,,free case review,9,this is crazy,-11
,,get $300 off,9,business funding,-11
,,cash back,9,available now,-10
,,insurance program,9,check your options today,-10
,,florida drivers,9,apply now for more details,-9
,,life insurance program,9,get started,-9
,,300 off,8,see if you qualify,-7
