New Hashtags,Rank,Risers,Change,Fallers,Change
cookie,8,no sugar,18,at home,-20
,,protein smoothie,12,dubai chocolate,-19
,,stress-free,12,protein bars,-12
,,swedish candy,12,snacks,-11
,,help you,11,energydrinks,-10
,,delicious meals made simple,11,liquid iv,-10
,,free meal,11,stock up,-8
,,for a limited time,11,current price,-8
,,high-quality,10,variety pack,-7
,,for dinner,10,get your,-7
,,love it,10,15% off,-7
,,high protein,9,check the product,-5
,,miss out,9,great deal,-4
,,olive oil,9,get 50% off,-3
,,make it,9,chocolate,-3
