New Hashtags,Rank,Risers,Change,Fallers,Change
you play,280,join the challenge now,21,going to love this game,20
tap the,420,clear tiles unlock bigger wins,21,most addictive game,20
,,best puzzle game,21,try it,20
,,parkour like a beast,21,puzzle game,20
,,rule the urban street,21,"claim 1,000,000 welcome coins",20
,,be the best banker,21,"anytime, anywhere",20
,,raise virtual pets,21,endless fun,20
,,start now,21,play for free,20
,,relaxing game,21,free to play,20
,,most people,21,addictive game,20
,,your friends,21,all day,20
,,survival game,21,stop playing,20
,,new amazing game,21,discover why,20
,,action pvp shooter,21,commute game that’s not boring,20
,,rescue survivors,21,real money,20
