New Hashtags,Rank,Risers,Change,Fallers,Change
sofabed,38,new app,36,sofacover,-42
barstool,121,new app users,36,beddingsets,-35
last day,131,bamboo sheets,33,pillowcase,-25
,,game changer,29,duvet cover set,-20
,,modular sofa,26,chainsaw,-19
,,hot sleepers,25,duvet cover,-16
,,check it,23,easy returns,-12
,,try this,22,neck pain,-12
,,brand new,21,security camera,-11
,,all day,21,wallpapers,-11
,,helps you,21,that keeps hot sleepers cool,-11
,,must have,20,chairs,-9
,,good deal,18,don’t miss,-8
,,seniors,17,welder,-8
,,bathrooms,17,flash sale,-7
